Player,AAV,Length,AdjAAV
Dylan Guenther,7.14,8,7.52
Jake Neighbours,3.75,2,3.95
Juraj Slafkovsky,7.60,8,8.01
Kirill Marchenko,3.85,3,4.06
Ridly Greig,3.25,4,3.25
Wyatt Johnston,8.40,5,8.40
Aliaksei Protas,3.38,5,3.56
Anton Lundell,5.00,6,5.27
Arthur Kaliyev,0.83,1,0.87
Bobby Brink,1.50,2,1.58
Cole Perfetti,3.25,2,3.43
Cole Sillinger,2.25,2,2.37
Connor McMichael,2.10,2,2.21
Dawson Mercer,4.00,3,4.22
Jack Drury,1.73,2,1.82
Kent Johnson,1.80,3,1.90
Lucas Raymond,8.08,8,8.51
Lukas Reichel,1.20,2,1.26
Matty Beniers,7.14,7,7.53
Nicholas Robertson,0.88,1,0.92
Peyton Krebs,1.45,2,1.53
Philip Tomasino,0.83,1,0.87
Quinton Byfield,6.25,5,6.59
Seth Jarvis,7.42,8,7.82
Vasily Podkolzin,1.00,2,1.05
Alex Newhook,2.90,4,3.09
Alexis Lafrenière,7.45,7,7.85
Cole Caufield,7.85,7,8.37
Dylan Cozens,7.10,7,7.57
Nils Hoglander,1.10,2,1.16
Shane Pinto,3.75,2,3.95
Tim Stützle,8.35,8,9.02
Trevor Zegras,5.75,3,6.13
Ty Dellandrea,1.30,2,1.37
,,,
